6.8,4559
9.1,6351
14.2,13545
19.4,16130
25.0,17511
32.6,18809
40.9,21475
46.2,25159
52.3,34132
59.4,36127
65.1,39722
74.4,42964
92.6,42990
102.5,43017
107.3,43104
112.7,46151
121.2,46245
126.2,46282
131.4,46489
137.2,47255
142.1,47364
148.3,47368
157.3,51138
162.5,51355
168.1,51360
174.2,51493
184.0,51887
189.3,51963
195.9,51980
201.1,53816
209.3,57144
214.5,57436
223.8,59299
228.8,59582
235.7,67595
241.1,71792
248.1,75737
267.7,75751
277.1,75763
282.2,76511
287.4,76765
293.0,76924
300.7,81261
308.8,81736
346.3,81957
352.3,81986
358.1,82030
365.1,82060
371.0,82069
376.3,82080
381.7,82086
406.7,82098
